,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,age_range,GENDER,NAZOKRESU
46345,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46346,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
58814,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58853,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
45216,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Nymburk
45214,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Kolín
45215,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Kolín
39330,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
39329,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
39328,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
158,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
157,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
188,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
155,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
154,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
195,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
181,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
39333,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
39332,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
39331,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
187,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
50893,67175,28000,4000.0,"MONETA Money Bank, a.s.",49,Muž,0,85,9,0,1,1650,0,43 - 55,0,Brno-venkov
50889,67175,28000,4000.0,"MONETA Money Bank, a.s.",49,Muž,0,85,9,0,1,1650,0,43 - 55,0,Znojmo
52322,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52299,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52298,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52310,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52309,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
156,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
39325,70030,15000,6000.0,"Komerční banka, a.s.",64,Žena,0,193,95,0,0,1650,0,56 - 68,1,Ostrava-město
186,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
185,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
184,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
183,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
182,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
172,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
52300,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52305,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52312,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52316,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52315,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52314,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52313,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
170,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
178,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
177,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
176,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
175,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
189,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
52318,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52317,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52304,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52311,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52321,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52320,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52319,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
52308,68201,35000,10000.0,"Česká spořitelna, a.s.",52,Muž,0,86,94,0,1,1650,0,43 - 55,0,Vykov
166,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
45210,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Nymburk
45211,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Kolín
45212,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Kolín
164,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
194,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
180,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
179,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
45209,28911,41099,6000.0,"Česká spořitelna, a.s.",43,Muž,1,46,86,0,1,1650,0,43 - 55,0,Kolín
198,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
197,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
196,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
190,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
153,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
70157,70030,20000,8000.0,"Česká spořitelna, a.s.",45,Žena,0,193,43,0,0,1650,0,43 - 55,1,Ostrava-město
174,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
173,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
171,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
191,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
169,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
168,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
167,53002,27000,10000.0,"MONETA Money Bank, a.s.",44,Žena,1,37,32,0,1,1650,0,43 - 55,1,Pardubice
